SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:06:27;
PERÍODO DE: 01/01/2025 A 31/01/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
3.01.01.02;RECEITAS COM VENDAS DE SERVIÇOS;0;0;-720047,50;720047,50;
903116;RECEITA DE COMISSOES C/ VENDAS DIRETA;0;0;-4414,44;4414,44;
903114;RECEITA DE SERVICOS;0;0;-396060,79;396060,79;
916184;RECEITA MAI, MRC, MPP E ENTREGA TECNICA;0;0;-72318,53;72318,53;
903243;VENDA DE SERVICOS EM GARANTIA;0;0;-247253,74;247253,74;
3.01.02;DEDUCOES DAS RECEITAS DE VENDAS;0;513726,48;-4641,84;-509084,64;
3.01.02.01;IMPOSTOS S/ VENDAS E SERVICOS;0;446963,39;-4641,84;-442321,55;
903129;COFINS S/FATURAMENTO;0;131000,50;-1788,21;-129212,29;
908846;DESPESA COM ICMS-ST;0;3724,46;0;-3724,46;
903127;DESPESA COM ISS;0;14028,61;0;-14028,61;
903126;DESPESAS COM ICMS;0;269768,33;-2464,87;-267303,46;
903128;PIS S/ FATURAMENTO;0;28441,49;-388,76;-28052,73;
3.01.02.02;DEVOLUCOES DE VENDAS;0;66763,09;0;-66763,09;
903132;DEVOLUÇÕES DE VENDA AGCO;0;34204,46;0;-34204,46;
903130;DEVOLUCOES DE VENDAS;0;32558,63;0;-32558,63;
3.01.99;RECEITA OPERACIONAL LIQUIDA;0;513726,48;-4440985,99;3927259,51;
3.02;CUSTOS DAS VENDAS;0;2659443,65;-185036,83;-2474406,82;
3.02.01;CUSTOS DAS VENDAS;0;2538980,66;-44355,54;-2494625,12;
905608;CMV GARANTIAS AGCO;0;241227,27;0;-241227,27;
905218;CMV IMPLEMENTOS NOVOS;0;35613,44;-13287,19;-22326,25;
903152;CMV LUBRIFICANTES;0;27363,13;0;-27363,13;
909492;CMV LUBRIFICANTES AGCO;0;178181,48;-1613,96;-176567,52;
903158;CMV MASSEY SHOP;0;7726,11;-224,85;-7501,26;
903149;CMV PEÇAS MASSEY;0;1066158,22;-19207,11;-1046951,11;
903151;CMV PEÇAS OUTRAS;0;304335,34;-10022,43;-294312,91;
903157;CMV PNEUS;0;13600,00;0;-13600,00;
903147;CMV TRATORES NOVOS MASSEY;0;664775,67;0;-664775,67;
3.02.02;DEVOLUÇÕES DE COMPRAS;0;30217,10;-30217,10;0;
903146;(-) DEVOLUCOES DE COMPRAS PECAS;0;30217,10;-30217,10;0;
3.02.03;CUSTO SERVICO INTERNO;0;0;-110464,19;110464,19;
913258;(-) CUSTO SERVICO INTERNO - USADOS;0;0;-39041,15;39041,15;
914078;(-) KM RECUPERACAO DE CUSTOS SERV INTERNO;0;0;-4646,40;4646,40;
913259;(-) M.O RECUPERACAO DE CUSTOS SERV INTERNO;0;0;-12092,70;12092,70;
914079;(-) SMS KM RECUPERACAO DE CUSTOS SERV INTERNO;0;0;-54683,94;54683,94;
3.02.04;SERVICOS;0;90245,89;0;-90245,89;
913915;SALARIOS DOS TECNICOS PRODUTIVOS;0;90245,89;0;-90245,89;
3.04;DESPESAS OPERACIONAIS;0;1931127,00;-115970,06;-1815156,94;
3.04.01;DESPESAS ADMINISTRATIVAS;0;550533,22;-85583,82;-464949,40;
903206;ALOCACAO DE IMPRESSORA/COMPUTADORES;0;1746,12;0;-1746,12;
903192;ALUGUEIS E ARRENDAMENTOS;0;67136,77;0;-67136,77;
903200;ASSINATURAS, JORNAIS E REVISTAS;0;300,14;0;-300,14;
903204;ASSOCIACAO UNIMASSEY;0;2113,00;0;-2113,00;
913315;(-) COFINS CREDITOS LEI 10.833/2003;0;0;-4635,31;4635,31;
903186;COMBUSTIVEIS;0;60781,18;0;-60781,18;
903263;CONSUMO DO TORNO;0;400,00;0;-400,00;
903191;CORREIOS E MALOTES;0;334,60;-67,10;-267,50;
903195;CURSOS DE APERFEICOAMENTO;0;4860,00;-250,00;-4610,00;
903174;DEPRECIACOES;0;22380,35;0;-22380,35;
909466;DESPESA C/ COMISSAOES DE TERCEIROS;0;5759,13;0;-5759,13;
909465;DESPESA C/ KM TERCEIROS - OFICINA;0;17757,30;0;-17757,30;
909551;DESPESA C/ LAVANDERIA;0;85,82;0;-85,82;
908724;DESPESA COM AVIAO;0;71642,08;-79625,06;7982,98;
909457;DESPESA C/ PEDAGIO;0;125,92;0;-125,92;
909600;DESPESA C/ RASTREAMENTO VEICULOS;0;3347,00;0;-3347,00;
908839;DESPESAS ALOCACOES DE VEICULOS;0;101210,37;0;-101210,37;
909603;DESPESAS C/ ALARMES E MONITORAMENTO;0;2167,29;0;-2167,29;
903180;DESPESAS C/ LIMPEZA E COZINHA;0;12804,51;0;-12804,51;
